index,actual_label,predicted_label
180.0,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware
181.0,rec.sport.baseball,rec.sport.baseball
182.0,comp.windows.x,comp.graphics
183.0,alt.atheism,alt.atheism
184.0,comp.sys.ibm.pc.hardware,comp.os.ms-windows.misc
185.0,talk.politics.guns,talk.politics.guns
186.0,rec.motorcycles,rec.motorcycles
187.0,comp.sys.mac.hardware,comp.sys.mac.hardware
188.0,alt.atheism,misc.forsale
189.0,sci.electronics,sci.space
190.0,talk.politics.misc,talk.politics.misc
191.0,sci.crypt,sci.crypt
192.0,sci.med,sci.med
193.0,talk.politics.misc,talk.politics.guns
194.0,comp.sys.ibm.pc.hardware,comp.os.ms-windows.misc
195.0,soc.religion.christian,soc.religion.christian
196.0,talk.politics.guns,talk.politics.guns
197.0,sci.med,soc.religion.christian
198.0,comp.sys.ibm.pc.hardware,rec.autos
199.0,talk.religion.misc,talk.religion.misc
200.0,soc.religion.christian,soc.religion.christian
201.0,rec.autos,rec.autos
202.0,comp.sys.mac.hardware,comp.sys.mac.hardware
203.0,misc.forsale,misc.forsale
204.0,soc.religion.christian,soc.religion.christian
205.0,sci.electronics,sci.space
206.0,rec.sport.baseball,rec.sport.baseball
207.0,comp.graphics,comp.sys.ibm.pc.hardware
208.0,talk.politics.guns,sci.space
209.0,soc.religion.christian,soc.religion.christian
210.0,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
211.0,sci.space,sci.space
212.0,sci.space,sci.space
213.0,alt.atheism,rec.motorcycles
214.0,talk.politics.guns,talk.politics.guns
215.0,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
216.0,comp.graphics,comp.graphics
217.0,rec.sport.hockey,rec.sport.hockey
218.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
219.0,alt.atheism,alt.atheism
220.0,rec.autos,rec.autos
221.0,talk.politics.guns,talk.politics.guns
222.0,sci.electronics,comp.sys.ibm.pc.hardware
223.0,comp.os.ms-windows.misc,comp.graphics
224.0,sci.space,sci.space
225.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
226.0,rec.autos,rec.autos
227.0,comp.os.ms-windows.misc,rec.sport.hockey
228.0,comp.windows.x,comp.windows.x
229.0,rec.autos,sci.electronics
230.0,talk.politics.mideast,rec.sport.hockey
231.0,comp.os.ms-windows.misc,sci.space
232.0,comp.sys.mac.hardware,comp.sys.mac.hardware
233.0,talk.politics.mideast,talk.politics.mideast
234.0,soc.religion.christian,soc.religion.christian
235.0,comp.sys.mac.hardware,comp.sys.mac.hardware
236.0,soc.religion.christian,soc.religion.christian
237.0,rec.sport.baseball,rec.sport.baseball
238.0,alt.atheism,comp.windows.x
239.0,rec.autos,rec.autos
240.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
241.0,rec.autos,misc.forsale
242.0,rec.motorcycles,rec.sport.baseball
243.0,rec.sport.hockey,rec.sport.hockey
244.0,sci.space,sci.space
245.0,sci.electronics,alt.atheism
246.0,sci.space,sci.space
247.0,sci.electronics,sci.electronics
248.0,sci.crypt,sci.crypt
249.0,rec.motorcycles,rec.motorcycles
250.0,soc.religion.christian,soc.religion.christian
251.0,misc.forsale,comp.os.ms-windows.misc
252.0,comp.sys.mac.hardware,comp.sys.mac.hardware
253.0,sci.crypt,sci.crypt
254.0,misc.forsale,sci.electronics
255.0,talk.politics.mideast,talk.politics.mideast
256.0,rec.autos,rec.motorcycles
257.0,rec.motorcycles,rec.motorcycles
258.0,rec.sport.hockey,rec.sport.hockey
259.0,sci.crypt,sci.crypt
260.0,comp.sys.mac.hardware,comp.sys.mac.hardware
261.0,comp.graphics,comp.os.ms-windows.misc
262.0,comp.windows.x,talk.politics.mideast
263.0,rec.motorcycles,rec.motorcycles
264.0,comp.graphics,comp.graphics
265.0,sci.electronics,comp.sys.ibm.pc.hardware
266.0,talk.politics.misc,talk.politics.misc
267.0,comp.os.ms-windows.misc,comp.graphics
268.0,sci.med,sci.med
269.0,sci.electronics,comp.graphics
270.0,rec.motorcycles,rec.motorcycles
271.0,talk.politics.guns,sci.crypt
272.0,talk.politics.misc,talk.politics.guns
273.0,rec.motorcycles,rec.motorcycles
274.0,comp.sys.mac.hardware,rec.motorcycles
275.0,soc.religion.christian,soc.religion.christian
276.0,comp.windows.x,comp.windows.x
277.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
278.0,sci.crypt,sci.crypt
279.0,comp.sys.ibm.pc.hardware,rec.autos
280.0,soc.religion.christian,soc.religion.christian
281.0,rec.sport.hockey,rec.sport.hockey
282.0,comp.sys.ibm.pc.hardware,misc.forsale
283.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
284.0,sci.space,sci.space
285.0,sci.med,rec.sport.baseball
286.0,talk.politics.mideast,talk.politics.mideast
287.0,talk.religion.misc,talk.religion.misc
288.0,misc.forsale,misc.forsale
289.0,talk.politics.misc,talk.politics.misc
290.0,misc.forsale,misc.forsale
291.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
292.0,soc.religion.christian,soc.religion.christian
293.0,rec.autos,comp.windows.x
294.0,soc.religion.christian,comp.graphics
295.0,rec.sport.hockey,rec.sport.hockey
296.0,rec.motorcycles,rec.motorcycles
297.0,comp.sys.mac.hardware,comp.sys.mac.hardware
298.0,rec.sport.baseball,rec.sport.baseball
299.0,sci.med,sci.electronics
300.0,rec.sport.hockey,rec.sport.hockey
301.0,alt.atheism,soc.religion.christian
302.0,soc.religion.christian,sci.space
303.0,misc.forsale,misc.forsale
304.0,talk.religion.misc,soc.religion.christian
305.0,comp.windows.x,comp.windows.x
306.0,talk.politics.guns,talk.politics.guns
307.0,rec.autos,rec.autos
308.0,talk.politics.mideast,talk.politics.mideast
309.0,talk.politics.guns,comp.graphics
310.0,rec.sport.hockey,rec.sport.hockey
311.0,misc.forsale,misc.forsale
312.0,comp.sys.mac.hardware,comp.sys.mac.hardware
313.0,rec.sport.hockey,sci.electronics
314.0,comp.windows.x,comp.windows.x
315.0,comp.sys.mac.hardware,comp.sys.mac.hardware
316.0,alt.atheism,alt.atheism
317.0,rec.motorcycles,talk.politics.guns
318.0,rec.sport.baseball,rec.sport.baseball
319.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
320.0,soc.religion.christian,soc.religion.christian
321.0,sci.med,sci.med
322.0,comp.sys.mac.hardware,comp.graphics
323.0,rec.motorcycles,rec.motorcycles
324.0,comp.windows.x,sci.electronics
325.0,talk.politics.misc,talk.politics.misc
326.0,talk.politics.misc,talk.politics.guns
327.0,sci.electronics,sci.electronics
328.0,alt.atheism,alt.atheism
329.0,sci.space,sci.space
330.0,talk.religion.misc,comp.sys.mac.hardware
331.0,rec.sport.hockey,rec.sport.hockey
332.0,comp.sys.mac.hardware,sci.electronics
333.0,sci.space,sci.space
334.0,soc.religion.christian,comp.graphics
335.0,comp.sys.ibm.pc.hardware,comp.graphics
336.0,talk.politics.guns,talk.politics.misc
337.0,sci.crypt,sci.crypt
338.0,sci.space,sci.space
339.0,sci.med,sci.med
340.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
341.0,rec.sport.hockey,rec.sport.hockey
342.0,sci.med,talk.religion.misc
343.0,rec.autos,rec.autos
344.0,sci.med,sci.med
345.0,talk.politics.misc,talk.politics.guns
346.0,misc.forsale,misc.forsale
347.0,soc.religion.christian,soc.religion.christian
348.0,rec.sport.hockey,rec.sport.hockey
349.0,comp.sys.mac.hardware,comp.windows.x
350.0,sci.electronics,sci.space
351.0,talk.politics.misc,talk.politics.guns
352.0,comp.windows.x,sci.electronics
353.0,sci.crypt,sci.crypt
354.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
355.0,rec.autos,comp.graphics
356.0,rec.motorcycles,rec.motorcycles
357.0,talk.politics.misc,talk.politics.misc
358.0,comp.windows.x,comp.sys.mac.hardware
359.0,soc.religion.christian,soc.religion.christian
360.0,rec.motorcycles,rec.motorcycles
361.0,sci.space,sci.space
362.0,rec.autos,rec.autos
363.0,rec.sport.hockey,rec.sport.hockey
364.0,comp.windows.x,comp.windows.x
365.0,alt.atheism,sci.electronics
366.0,comp.graphics,comp.graphics
367.0,comp.sys.mac.hardware,comp.sys.mac.hardware
368.0,alt.atheism,alt.atheism
369.0,misc.forsale,misc.forsale
370.0,talk.politics.misc,talk.politics.misc
371.0,rec.motorcycles,rec.motorcycles
372.0,comp.sys.mac.hardware,misc.forsale
373.0,sci.crypt,sci.crypt
374.0,comp.os.ms-windows.misc,misc.forsale
375.0,sci.space,sci.space
376.0,misc.forsale,comp.os.ms-windows.misc
377.0,talk.politics.mideast,misc.forsale
378.0,rec.sport.baseball,rec.sport.baseball
379.0,rec.sport.hockey,rec.sport.hockey
380.0,sci.electronics,sci.electronics
381.0,sci.electronics,comp.sys.mac.hardware
382.0,sci.med,sci.med
383.0,rec.autos,rec.autos
384.0,misc.forsale,misc.forsale
385.0,talk.politics.misc,talk.politics.misc
386.0,soc.religion.christian,soc.religion.christian
387.0,comp.sys.mac.hardware,comp.sys.mac.hardware
388.0,rec.autos,rec.autos
389.0,sci.crypt,sci.crypt
390.0,rec.autos,rec.autos
391.0,sci.crypt,rec.sport.hockey
392.0,comp.sys.mac.hardware,comp.sys.mac.hardware
393.0,sci.space,sci.crypt
394.0,rec.sport.baseball,rec.autos
395.0,rec.motorcycles,talk.politics.guns
396.0,sci.electronics,sci.electronics
397.0,comp.sys.ibm.pc.hardware,rec.autos
398.0,sci.electronics,sci.electronics
399.0,comp.sys.mac.hardware,comp.sys.mac.hardware
400.0,alt.atheism,alt.atheism
401.0,talk.politics.misc,misc.forsale
402.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
403.0,talk.politics.guns,comp.graphics
404.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
405.0,rec.motorcycles,rec.motorcycles
406.0,sci.electronics,sci.space
407.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
408.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
409.0,rec.sport.baseball,comp.sys.mac.hardware
410.0,comp.windows.x,sci.crypt
411.0,rec.autos,comp.os.ms-windows.misc
412.0,talk.religion.misc,talk.religion.misc
413.0,sci.med,sci.med
414.0,sci.electronics,comp.windows.x
415.0,sci.crypt,sci.crypt
416.0,soc.religion.christian,soc.religion.christian
417.0,misc.forsale,misc.forsale
418.0,rec.sport.hockey,rec.sport.hockey
419.0,sci.crypt,sci.crypt
420.0,talk.religion.misc,soc.religion.christian
421.0,rec.sport.baseball,rec.sport.baseball
422.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
423.0,comp.graphics,comp.graphics
424.0,comp.graphics,rec.autos
425.0,alt.atheism,alt.atheism
426.0,comp.windows.x,comp.windows.x
427.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
428.0,rec.motorcycles,rec.autos
429.0,talk.politics.misc,talk.politics.misc
430.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
431.0,rec.motorcycles,rec.motorcycles
432.0,sci.med,sci.med
433.0,talk.religion.misc,talk.religion.misc
434.0,comp.sys.ibm.pc.hardware,comp.graphics
435.0,comp.windows.x,comp.windows.x
436.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
437.0,sci.space,comp.sys.mac.hardware
438.0,talk.politics.mideast,talk.politics.mideast
439.0,rec.sport.baseball,soc.religion.christian
440.0,soc.religion.christian,soc.religion.christian
441.0,talk.politics.misc,talk.politics.misc
442.0,rec.sport.baseball,rec.sport.baseball
443.0,comp.sys.mac.hardware,comp.windows.x
444.0,comp.sys.mac.hardware,comp.sys.mac.hardware
445.0,sci.space,sci.space
446.0,comp.graphics,comp.graphics
447.0,talk.politics.misc,talk.politics.misc
448.0,sci.crypt,sci.crypt
449.0,rec.autos,rec.autos
450.0,sci.electronics,comp.windows.x
451.0,talk.religion.misc,talk.religion.misc
452.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
453.0,comp.graphics,comp.sys.ibm.pc.hardware
454.0,rec.sport.baseball,rec.sport.hockey
455.0,soc.religion.christian,alt.atheism
456.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
457.0,talk.religion.misc,talk.religion.misc
458.0,sci.crypt,sci.crypt
459.0,rec.motorcycles,rec.motorcycles
460.0,soc.religion.christian,soc.religion.christian
461.0,sci.space,sci.med
462.0,sci.crypt,sci.med
463.0,comp.windows.x,comp.graphics
464.0,talk.religion.misc,talk.religion.misc
465.0,talk.politics.guns,talk.politics.guns
466.0,alt.atheism,talk.religion.misc
467.0,rec.sport.baseball,rec.sport.baseball
468.0,sci.space,sci.space
469.0,talk.politics.mideast,talk.politics.mideast
470.0,alt.atheism,comp.os.ms-windows.misc
471.0,talk.politics.misc,talk.politics.misc
472.0,rec.motorcycles,rec.motorcycles
473.0,misc.forsale,misc.forsale
474.0,soc.religion.christian,soc.religion.christian
475.0,sci.med,soc.religion.christian
476.0,sci.electronics,comp.windows.x
477.0,sci.med,sci.med
478.0,rec.autos,sci.med
479.0,rec.sport.baseball,rec.sport.baseball
480.0,sci.space,sci.space
481.0,comp.os.ms-windows.misc,rec.sport.baseball
482.0,talk.politics.guns,talk.politics.guns
483.0,misc.forsale,comp.graphics
484.0,comp.graphics,comp.graphics
485.0,comp.windows.x,comp.windows.x
486.0,comp.os.ms-windows.misc,misc.forsale
487.0,sci.electronics,comp.sys.ibm.pc.hardware
488.0,rec.sport.baseball,rec.sport.baseball
489.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
490.0,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware
491.0,misc.forsale,misc.forsale
492.0,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
493.0,rec.motorcycles,rec.autos
494.0,sci.med,sci.med
495.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
496.0,sci.med,sci.med
497.0,talk.religion.misc,talk.politics.misc
498.0,soc.religion.christian,soc.religion.christian
499.0,rec.motorcycles,rec.motorcycles
500.0,rec.sport.baseball,rec.sport.baseball
501.0,talk.politics.misc,rec.sport.baseball
502.0,rec.sport.baseball,rec.sport.baseball
503.0,talk.religion.misc,soc.religion.christian
504.0,talk.religion.misc,alt.atheism
505.0,rec.motorcycles,rec.motorcycles
506.0,rec.autos,rec.autos
507.0,sci.space,sci.space
508.0,soc.religion.christian,soc.religion.christian
509.0,misc.forsale,rec.motorcycles
510.0,sci.space,rec.motorcycles
511.0,rec.sport.baseball,rec.sport.baseball
512.0,alt.atheism,alt.atheism
513.0,talk.politics.misc,talk.politics.misc
514.0,rec.sport.baseball,rec.sport.baseball
515.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
516.0,sci.electronics,sci.electronics
517.0,talk.politics.mideast,alt.atheism
518.0,rec.motorcycles,rec.motorcycles
519.0,comp.windows.x,comp.os.ms-windows.misc
520.0,rec.sport.hockey,rec.sport.hockey
521.0,rec.sport.hockey,rec.sport.hockey
522.0,talk.religion.misc,sci.electronics
523.0,comp.windows.x,comp.windows.x
524.0,rec.motorcycles,rec.motorcycles
525.0,talk.politics.guns,talk.politics.guns
526.0,talk.politics.mideast,talk.politics.mideast
527.0,sci.space,sci.space
528.0,sci.med,sci.med
529.0,rec.sport.hockey,rec.sport.hockey
530.0,talk.religion.misc,talk.religion.misc
531.0,comp.graphics,comp.graphics
532.0,talk.politics.guns,talk.politics.guns
533.0,sci.med,sci.med
534.0,rec.autos,rec.autos
535.0,rec.sport.baseball,rec.sport.hockey
536.0,sci.crypt,sci.crypt
537.0,rec.sport.baseball,comp.sys.ibm.pc.hardware
538.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
539.0,comp.sys.mac.hardware,comp.sys.mac.hardware
540.0,comp.windows.x,sci.electronics
541.0,rec.sport.hockey,rec.sport.hockey
542.0,talk.politics.mideast,talk.politics.mideast
543.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
544.0,sci.med,comp.sys.ibm.pc.hardware
545.0,comp.sys.ibm.pc.hardware,rec.autos
546.0,talk.politics.mideast,talk.politics.mideast
547.0,sci.med,sci.med
548.0,talk.politics.guns,talk.politics.misc
549.0,rec.motorcycles,rec.autos
550.0,comp.sys.mac.hardware,comp.sys.mac.hardware
551.0,comp.sys.mac.hardware,comp.sys.mac.hardware
552.0,talk.politics.guns,talk.religion.misc
553.0,sci.crypt,sci.crypt
554.0,rec.sport.hockey,rec.sport.hockey
555.0,sci.crypt,sci.crypt
556.0,comp.sys.mac.hardware,comp.sys.mac.hardware
557.0,alt.atheism,alt.atheism
558.0,rec.sport.hockey,rec.sport.baseball
559.0,soc.religion.christian,soc.religion.christian
560.0,rec.motorcycles,rec.motorcycles
561.0,alt.atheism,alt.atheism
562.0,sci.electronics,sci.electronics
563.0,sci.space,sci.space
564.0,rec.sport.baseball,rec.sport.baseball
565.0,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware
566.0,comp.graphics,comp.graphics
567.0,talk.politics.guns,talk.politics.guns
568.0,rec.autos,comp.graphics
569.0,comp.graphics,misc.forsale
570.0,comp.graphics,comp.os.ms-windows.misc
571.0,talk.politics.mideast,talk.politics.mideast
572.0,comp.sys.mac.hardware,comp.sys.mac.hardware
573.0,talk.politics.mideast,talk.politics.mideast
574.0,rec.motorcycles,rec.sport.baseball
575.0,comp.sys.mac.hardware,talk.politics.misc
576.0,talk.religion.misc,comp.os.ms-windows.misc
577.0,sci.space,rec.autos
578.0,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
579.0,sci.electronics,sci.electronics
580.0,talk.politics.guns,comp.graphics
581.0,rec.sport.hockey,rec.sport.hockey
582.0,rec.sport.hockey,rec.sport.hockey
583.0,talk.politics.guns,talk.politics.misc
584.0,comp.windows.x,comp.windows.x
585.0,alt.atheism,alt.atheism
586.0,comp.graphics,comp.sys.mac.hardware
587.0,talk.politics.mideast,talk.politics.mideast
588.0,rec.sport.baseball,rec.sport.baseball
589.0,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
590.0,talk.politics.guns,talk.politics.guns
591.0,sci.crypt,sci.crypt
592.0,sci.med,sci.med
593.0,sci.crypt,talk.politics.guns
594.0,rec.sport.hockey,rec.sport.hockey
595.0,comp.graphics,comp.graphics
596.0,talk.politics.misc,talk.politics.mideast
597.0,rec.sport.baseball,rec.sport.baseball
598.0,sci.space,sci.space
599.0,talk.politics.guns,talk.politics.guns
600.0,sci.space,sci.space
601.0,rec.sport.hockey,rec.sport.hockey
602.0,rec.sport.hockey,rec.sport.hockey
603.0,talk.politics.mideast,rec.sport.baseball
604.0,sci.crypt,sci.crypt
605.0,comp.windows.x,talk.politics.guns
606.0,sci.electronics,talk.politics.mideast
607.0,rec.sport.baseball,rec.sport.baseball
608.0,talk.politics.mideast,rec.sport.baseball
609.0,comp.windows.x,comp.os.ms-windows.misc
610.0,rec.sport.baseball,comp.graphics
611.0,comp.windows.x,comp.windows.x
612.0,soc.religion.christian,soc.religion.christian
613.0,talk.politics.misc,talk.politics.misc
614.0,rec.sport.hockey,rec.sport.hockey
615.0,alt.atheism,alt.atheism
616.0,comp.os.ms-windows.misc,comp.os.ms-windows.misc
617.0,rec.autos,rec.autos
618.0,rec.autos,rec.autos
619.0,rec.sport.baseball,rec.sport.baseball
620.0,rec.sport.baseball,rec.sport.baseball
621.0,sci.space,sci.space
622.0,talk.politics.guns,talk.politics.guns
623.0,soc.religion.christian,soc.religion.christian
624.0,misc.forsale,comp.sys.mac.hardware
625.0,talk.politics.mideast,talk.politics.mideast
626.0,rec.motorcycles,rec.motorcycles
627.0,sci.space,sci.space
628.0,comp.graphics,comp.os.ms-windows.misc
